symbol,type,entry,exit,pnl,reason,bars
AVAX-USD,C,9.572922706604004,9.527631525993348,-0.6624,stop,0
AVAX-USD,B,9.523195266723633,9.623760223388672,1.4784,target,3
AVAX-USD,B,9.551482200622559,9.646997022628785,1.4,target,34
AVAX-USD,C,9.892257690429688,9.991180267333984,1.4,target,6
AVAX-USD,B,9.880824089050293,9.831419968605042,-0.7,stop,42
AVAX-USD,C,10.016124725341797,10.116285972595215,1.4,target,5
AVAX-USD,B,10.047457695007324,10.010447206497192,-0.5157,stop,0
AVAX-USD,C,9.721731185913086,9.677822461128235,-0.6323,stop,5
AVAX-USD,B,9.563496589660645,9.577628135681152,0.2069,timeout,48
AVAX-USD,B,9.7228364944458,9.67422231197357,-0.7,stop,34
AVAX-USD,B,9.750497817993164,9.724732575416565,-0.3699,stop,5
AVAX-USD,B,9.693352699279785,9.784048557281494,1.3099,target,19
AVAX-USD,C,9.969847679138184,9.923135523796082,-0.6559,stop,0
AVAX-USD,B,10.401505470275879,10.349497942924499,-0.7,stop,10
AVAX-USD,A,10.261061429977417,10.363672044277191,1.4,target,39
AVAX-USD,C,10.487726211547852,10.441677513122558,-0.6147,stop,38
AVAX-USD,B,10.289238929748535,10.238708429336548,-0.6875,stop,41
AVAX-USD,B,10.255223274230957,10.203947157859803,-0.7,stop,13
AVAX-USD,B,9.678374290466309,9.629982419013977,-0.7,stop,42
AVAX-USD,B,9.509117126464844,9.46157154083252,-0.7,stop,9
AVAX-USD,B,9.514567375183105,9.587221145629883,1.069,target,31
AVAX-USD,B,9.538406372070312,9.49071434020996,-0.7,stop,2
AVAX-USD,B,9.502242088317871,9.457469420433045,-0.6597,stop,45
AVAX-USD,B,9.551441192626953,9.59127140045166,0.5838,timeout,48
AVAX-USD,B,9.57462215423584,9.556442260742188,-0.2658,timeout,48
AVAX-USD,B,9.474949836730957,9.491752624511719,0.2483,timeout,48
AVAX-USD,C,9.235377311706543,9.328016195297241,1.4043,target,14
AVAX-USD,B,9.278260231018066,9.233475427627564,-0.6758,stop,8
AVAX-USD,B,9.008720397949219,9.106223363876342,1.5152,target,20
AVAX-USD,C,9.11846923828125,9.072876892089843,-0.7,stop,46
AVAX-USD,B,9.517312049865723,9.59054183959961,1.0772,target,25
AVAX-USD,B,9.599980354309082,9.633955955505371,0.4955,timeout,48
AVAX-USD,B,9.708497047424316,9.659954562187195,-0.7,stop,32
AVAX-USD,B,9.236318588256836,9.201363501548768,-0.5298,stop,2
AVAX-USD,B,9.087717056274414,9.085099220275879,-0.0403,timeout,48
AVAX-USD,B,9.055601119995117,9.010323114395142,-0.7,stop,9
AVAX-USD,B,8.737345695495605,8.81652545928955,1.2687,target,11
